id,handle,sku,c4,c5,c6,name,description,product_category,variant_option_one_name,variant_option_one_value,vo2n,vo2v,vo3n,vo3v,tags,supply_price,retail_price,loy1,loy2,loy3,loy4,brand_name,supplier_name,supplier_code,active,track_inventory,outlet_tax_Titan Flooring,inv,reorder,restock
87b9b3d7-5c89-4430-af65-d928fdea6beb,impvin---eterna-collection---65-mm-spc-viinyl-sage---4207-----7-x-60--15-ixpe---245sfb,4207,,,,"IMPVIN - ETERNA COLLECTION - 6.5 MM SPC VIINYL (SAGE)  | #4207 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 24.5 | Boxes per skid: 50,VINYL,,,,,,,,1.43,2.43,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
865899a5-677f-4921-b413-58e26a6df347,impvin---elegant-collection---75-mm-spc-viinyl-hills---4300-----7-x-60--15-ixpe---245sfb,4300,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (HILLS)  | #4300 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
7b620e95-1929-43ad-a2e4-d9108c22a349,impvin---elegant-collection---75-mm-spc-viinyl-coal---4301-----7-x-60--15-ixpe---245sfb,4301,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (COAL)  | #4301 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
c846c29c-d206-4c7f-a880-056eaa76f7b4,impvin---elegant-collection---75-mm-spc-viinyl-onyx---4302-----7-x-60--15-ixpe---245sfb,4302,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (ONYX)  | #4302 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
85047505-765d-4b5c-9dec-983ac9178f69,impvin---elegant-collection---75-mm-spc-viinyl-ginger---4303-----7-x-60--15-ixpe---245sfb,4303,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (GINGER)  | #4303 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
2c626e81-da3c-483e-b651-2ca4f836cea1,impvin---elegant-collection---75-mm-spc-viinyl-sandal---4304-----7-x-60--15-ixpe---245sfb,4304,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (SANDAL)  | #4304 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
6149e053-0d4a-4b3e-aa4c-d18b5482bff2,impvin---elegant-collection---75-mm-spc-viinyl-cedar---4305-----7-x-60--15-ixpe---245sfb,4305,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (CEDAR)  | #4305 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
42bd5f20-af3a-4ca7-b891-19b25655a639,impvin---elegant-collection---75-mm-spc-viinyl-horizon---4306-----7-x-60--15-ixpe---245sfb,4306,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (HORIZON)  | #4306 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
bbd73264-aced-483b-a3c2-d916c5cc6953,impvin---elegant-collection---75-mm-spc-viinyl-fuji---4307-----7-x-60--15-ixpe---245sfb,4307,,,,"IMPVIN - ELEGANT COLLECTION - 7.5 MM SPC VIINYL (FUJI)  | #4307 |  - 7"" x 60"" + 1.5 IXPE - 24.5sf/b",Box size (sf): 21.44 | Boxes per skid: 50,VINYL,,,,,,,,1.74,2.74,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
4cef3d7a-49de-4f04-8dc5-0e0d564bd344,IMPVINELITE9RIVIERA,LVP-IMPR-38000,,,,"IMPVIN - ELITE COLLECTION (RIVIERA) | #38000 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
f39ff1a3-e3f7-42ea-a309-b62ad55a0879,IMPVINELITE9VINCI,LVP-IMPR-38001,,,,"IMPVIN - ELITE COLLECTION (VINCI) | #38001 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
44b6f367-3ee6-4e0c-ba71-bced46e51821,IMPVINELITE9FABIO,LVP-IMPR-38002,,,,"IMPVIN - ELITE COLLECTION (FABIO) | #38002 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
dc4c4c93-afa6-430f-af38-d816c6af086a,IMPVINELITE9SANDORA,LVP-IMPR-38003,,,,"IMPVIN - ELITE COLLECTION (SANDORA) | #38003 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
e7e4f239-be59-42d9-b1d0-40de44f7eedb,IMPVINELITE9BELMONTE,LVP-IMPR-38004,,,,"IMPVIN - ELITE COLLECTION (BELMONTE) | #38004 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
8ff678c4-6866-417f-ae8b-2fa10a956561,IMPVINELITE9RANCHO,LVP-IMPR-38005,,,,"IMPVIN - ELITE COLLECTION (RANCHO) | #38005 | 9"" x 9mm - 60"" - 23.28sf/b",Box size (sf): 23.28 | Boxes per skid: 50,SPC,,,,,,,,2.03,3.03,,,,,,IMPRESSIVE,,1,1,Default Tax,,,
